code,name,kana,market,industry,kana
3387,クリエイト・レストランツ・ホールディングス,クリエイト・レストランツ・ホールディングス,東証プライム,小売業,クリエイト・レストランツ・ホールディングス
3388,明治電機工業,メイジデンキコウギョウ,東証プライム,卸売業,メイジデンキコウギョウ
3391,ツルハホールディングス,ツルハホールディングス,東証プライム,小売業,ツルハホールディングス
3393,スターティアホールディングス,スターティアホールディングス,東証プライム,卸売業,スターティアホールディングス
3395,サンマルクホールディングス,サンマルクホールディングス,東証プライム,小売業,サンマルクホールディングス
3397,トリドールホールディングス,トリドールホールディングス,東証プライム,小売業,トリドールホールディングス
3401,帝人,テイジン,東証プライム,繊維製品,テイジン
3402,東レ,トウレ,東証プライム,繊維製品,トウレ
3405,クラレ,クラレ,東証プライム,化学,クラレ
3407,旭化成,アサヒカセイ,東証プライム,化学,アサヒカセイ
3415,ＴＯＫＹＯ　ＢＡＳＥ,ＴＯＫＹＯ　ＢＡＳＥ,東証プライム,小売業,ＴＯＫＹＯ　ＢＡＳＥ
3431,宮地エンジニアリンググループ,ミヤジエンジニアリンググループ,東証プライム,金属製品,ミヤジエンジニアリンググループ
3433,トーカロ,トーカロ,東証プライム,金属製品,トーカロ
3436,ＳＵＭＣＯ,ＳＵＭＣＯ,東証プライム,金属製品,ＳＵＭＣＯ
3443,川田テクノロジーズ,カワタテクノロジーズ,東証プライム,金属製品,カワタテクノロジーズ
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,東証プライム,金属製品,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
3457,Ａｎｄ　Ｄｏホールディングス,Ａｎｄ　Ｄｏホールディングス,東証プライム,不動産業,Ａｎｄ　Ｄｏホールディングス
